Model	Drug	AUC	iC50	D1_CONC	D5_CONC	perc.iC50
HCI001	(5Z)-7-Oxozeaenol	0.217813024536387	5.48327034751385	7.70132211538461	2.33774038461538	71.5074430776334
HCI001	17-AAG	0.301919214733593	18349.7411361244	1	0.00390625	183.03800285397
HCI001	5-Fluorouracil	0.494210034899111	1.3502642314527	20	0.078125	51.391420739167
HCI001	681640	0.102932316045082	152.12579956481	2	0.0078125	150.681089128021
HCI001	ABT-263	0.497307303483943	0.124656353895025	2	0.0078125	49.5913465231881
HCI001	AG-014699	0.234836626303514	18.2269797983001	5	0.01953125	123.325944091411
HCI001	AMG-706	0.087818034275228	1.34405857090807e+43	2	0.0078125	1118.25433977427
HCI001	AZ628	0.352369341061105	9.27974227949887	1.63778409090909	0.370028409090909	127.398410118704
HCI001	AZ960	0.37442729295353	1.3502642314527	7.70132211538461	2.33774038461538	-46.0393557365497
HCI001	AZD2281	0.063342412909425	1.8215185307051e+30	5.27840909090909	1.47514204545455	4861.16905082499
HCI001	AZD6482	0.245269729890277	12.364380383314	4.09446022727273	0.925071022727273	139.822472422646
HCI001	AZD7762	0.479530054688161	0.149284424721969	2	0.0078125	53.2016944733606
HCI001	AZD8055	0.406893501271695	0.210730901214819	1.63778409090909	0.370028409090909	-40.8348288327453
HCI001	Anastrozole	0.115727559366246	1.34405857090807e+43	8.10267857142857	1.93638392857143	4303.66264701359
HCI001	Axitinib	0.0977819719413386	1224660285881878784	2	0.0078125	508.105536195106
HCI001	BI-2536	0.201532158804086	448.588553677406	2.05769230769231	0.00803786057692308	197.102771627013
HCI001	BIBW2992	0.219124610892667	3343633.57540478	0.5	0.001953125	253.303570056731
HCI001	BIRB 0796	0.0801229780241461	2.68811714181614e+43	10	0.0390625	1861.84469992511
HCI001	BMN-673	0.0120176861688626	2.68811714181614e+43	7.70132211538461	2.33774038461538	8316.57575990104
HCI001	BMS-345541	0.210578103766859	3.67407463626186	7.70132211538461	2.33774038461538	37.9226434164382
HCI001	BMS-536924	0.12694098291969	22.266940798378	3.27556818181818	0.740056818181818	228.846146451816
HCI001	BMS-708163	0.177308975434063	17210752.7970273	4.09446022727273	0.925071022727273	1122.30458789911
HCI001	BMS-754807	0.275312833678529	10.950527217281	8.18892045454546	1.85014204545455	99.9542880365404
HCI001	BX-795	0.0575652620674643	1426.82341243218	5	0.01953125	186.50703321943
HCI001	Bicalutamide	0.095266787475474	669.483491254295	7.70132211538461	2.33774038461538	474.525039011975
HCI001	Bosutinib	0.0951809331622143	13.8751055729459	2	0.0078125	130.824175402071
HCI001	Bryostatin	0.0932100749872749	24507062537023236	1	0.00390625	780.550588607532
HCI001	CEP-701	0.203946935419153	2.61450958694147	2	0.0078125	98.3310438505177
HCI001	CHIR-99021	0.101106530596394	1.34405857090807e+43	8.18892045454546	1.85014204545455	3437.7017488333
HCI001	Camptothecin	0.028975642380798	1.6522127610956e+21	0.1	0.000390625	881.645430971473
HCI001	Cisplatin	0.12706838019663	669.483491254295	7.31818181818182	0.0285866477272727	181.442742637142
HCI001	Docetaxel	0.0758710989961316	2453479969835.76	0.0125	4.8828125e-05	693.498684085685
HCI001	EHT 1864	0.163510082830711	9.99717249289782	10	0.0390625	99.9949002408927
HCI001	Embelin	0.129323075317993	8.18335409062761	10	0.0390625	96.3845522907202
